OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS
51.08,51.47,51.03,51.31,21443500,0.05,0,QQQ,2011-12-27,86.0,4386.900000000001,4392.88
51.25,51.33,50.58,50.72,38180100,0.0,0,QQQ,2011-12-28,86.0,4386.900000000001,4407.5
50.8,51.12,50.63,51.08,28077900,0.0,0,QQQ,2011-12-29,86.0,4386.900000000001,4368.8
50.97,51.2,50.93,50.93,21832400,0.0,0,QQQ,2011-12-30,86.0,4386.900000000001,4383.42
51.92,52.18,51.77,51.91,39514100,0.0,0,QQQ,2012-01-03,86.0,4386.900000000001,4465.12
51.83,52.2,51.6,52.13,29403400,0.0,0,QQQ,2012-01-04,86.0,4386.900000000001,4457.38
52.02,52.6,51.82,52.56,41260600,0.0,0,QQQ,2012-01-05,86.0,4386.900000000001,4473.72
52.57,52.86,52.37,52.74,46325200,0.0,0,QQQ,2012-01-06,86.0,4386.900000000001,4521.02
52.88,52.9,52.39,52.57,39195500,0.0,0,QQQ,2012-01-09,88.0,4492.660000000001,4653.4400000000005
53.12,53.28,52.59,52.95,35949900,0.0,0,QQQ,2012-01-10,88.0,4492.660000000001,4674.5599999999995
52.94,53.18,52.74,53.06,37144100,0.0,0,QQQ,2012-01-11,88.0,4492.660000000001,4658.719999999999
53.18,53.34,52.79,53.27,26188300,0.0,0,QQQ,2012-01-12,88.0,4492.660000000001,4679.84
52.99,53.1,52.62,53.08,35980400,0.0,0,QQQ,2012-01-13,88.0,4492.660000000001,4663.12
53.54,53.79,53.36,53.56,41790800,0.0,0,QQQ,2012-01-17,88.0,4492.660000000001,4711.5199999999995
53.66,54.27,53.54,54.27,48692700,0.0,0,QQQ,2012-01-18,88.0,4492.660000000001,4722.08
54.52,54.71,54.42,54.61,47774500,0.0,0,QQQ,2012-01-19,88.0,4492.660000000001,4797.76
